option,1A,1B,1D,1E,1G,1I,1K,1L
1,E,J,I,F,H,G,L,K
2,H,G,I,D,J,F,L,K
3,E,J,I,D,H,G,L,K
4,E,J,I,D,H,F,L,K
5,E,G,I,D,J,F,L,K
6,E,G,J,D,H,F,L,K
7,E,G,I,D,H,F,L,K
8,E,G,J,D,H,F,L,I
9,E,G,J,D,H,F,I,K
10,H,G,I,C,J,F,L,K
11,E,J,I,C,H,G,L,K
12,E,J,I,C,H,F,L,K
13,E,G,I,C,J,F,L,K
14,E,G,J,C,H,F,L,K
15,E,G,I,C,H,F,L,K
16,E,G,J,C,H,F,L,I
17,E,G,J,C,H,F,I,K
18,H,G,I,C,J,D,L,K
19,C,J,I,D,H,F,L,K
20,C,G,I,D,J,F,L,K
21,C,G,J,D,H,F,L,K
22,C,G,I,D,H,F,L,K
23,C,G,J,D,H,F,L,I
24,C,G,J,D,H,F,I,K
25,E,J,I,C,H,D,L,K
26,E,G,I,C,J,D,L,K
27,E,G,J,C,H,D,L,K
28,E,G,I,C,H,D,L,K
29,E,G,J,C,H,D,L,I
30,E,G,J,C,H,D,I,K
31,C,J,E,D,I,F,L,K
32,C,J,E,D,H,F,L,K
33,C,E,I,D,H,F,L,K
34,C,J,E,D,H,F,L,I
35,C,J,E,D,H,F,I,K
36,C,G,E,D,J,F,L,K
37,C,G,E,D,I,F,L,K
38,C,G,E,D,J,F,L,I
39,C,G,E,D,J,F,I,K
40,C,G,E,D,H,F,L,K
41,C,G,J,D,H,F,L,E
42,C,G,J,D,H,F,E,K
43,C,G,E,D,H,F,L,I
44,C,G,E,D,H,F,I,K
45,C,G,J,D,H,F,E,I
46,H,J,B,F,I,G,L,K
47,E,J,I,B,H,G,L,K
48,E,J,B,F,I,H,L,K
49,E,J,B,F,I,G,L,K
50,E,J,B,F,H,G,L,K
51,E,G,B,F,I,H,L,K
52,E,J,B,F,H,G,L,I
53,E,J,B,F,H,G,I,K
54,H,J,B,D,I,G,L,K
55,H,J,B,D,I,F,L,K
56,I,G,B,D,J,F,L,K
57,H,G,B,D,J,F,L,K
58,H,G,B,D,I,F,L,K
59,H,G,B,D,J,F,L,I
60,H,G,B,D,J,F,I,K
61,E,J,B,D,I,H,L,K
62,E,J,B,D,I,G,L,K
63,E,J,B,D,H,G,L,K
64,E,G,B,D,I,H,L,K
65,E,J,B,D,H,G,L,I
66,E,J,B,D,H,G,I,K
67,E,J,B,D,I,F,L,K
68,E,J,B,D,H,F,L,K
69,E,I,B,D,H,F,L,K
70,E,J,B,D,H,F,L,I
71,E,J,B,D,H,F,I,K
72,E,G,B,D,J,F,L,K
73,E,G,B,D,I,F,L,K
74,E,G,B,D,J,F,L,I
75,E,G,B,D,J,F,I,K
76,E,G,B,D,H,F,L,K
77,H,G,B,D,J,F,L,E
78,H,G,B,D,J,F,E,K
79,E,G,B,D,H,F,L,I
80,E,G,B,D,H,F,I,K
81,H,G,B,D,J,F,E,I
82,H,J,B,C,I,G,L,K
83,H,J,B,C,I,F,L,K
84,I,G,B,C,J,F,L,K
85,H,G,B,C,J,F,L,K
86,H,G,B,C,I,F,L,K
87,H,G,B,C,J,F,L,I
88,H,G,B,C,J,F,I,K
89,E,J,B,C,I,H,L,K
90,E,J,B,C,I,G,L,K
91,E,J,B,C,H,G,L,K
92,E,G,B,C,I,H,L,K
93,E,J,B,C,H,G,L,I
94,E,J,B,C,H,G,I,K
95,E,J,B,C,I,F,L,K
96,E,J,B,C,H,F,L,K
97,E,I,B,C,H,F,L,K
